"","ArrivalDate","n"
"899",2016-06-23,5
"900",2016-06-24,7
"901",2016-06-25,15
"902",2016-06-26,20
"903",2016-06-27,9
"904",2016-06-28,9
"905",2016-06-29,10
"906",2016-06-30,12
"907",2016-07-01,5
"908",2016-07-02,7
"909",2016-07-03,15
"910",2016-07-04,10
"911",2016-07-05,14
"912",2016-07-06,6
"913",2016-07-07,14
"914",2016-07-08,3
"915",2016-07-09,16
"916",2016-07-10,11
"917",2016-07-11,8
"918",2016-07-12,9
"919",2016-07-13,12
"920",2016-07-14,10
"921",2016-07-15,3
"922",2016-07-16,16
"923",2016-07-17,12
"924",2016-07-18,9
"925",2016-07-19,7
"926",2016-07-20,12
"927",2016-07-21,27
"928",2016-07-22,28
"929",2016-07-23,30
"930",2016-07-24,38
"931",2016-07-25,19
"932",2016-07-26,13
"933",2016-07-27,8
"934",2016-07-28,9
"935",2016-07-29,3
"936",2016-07-30,15
"937",2016-07-31,24
"938",2016-08-01,19
"939",2016-08-02,11
"940",2016-08-03,10
"941",2016-08-04,8
"942",2016-08-05,5
"943",2016-08-06,7
"944",2016-08-07,14
"945",2016-08-08,13
"946",2016-08-09,9
"947",2016-08-10,11
"948",2016-08-11,9
"949",2016-08-12,6
"950",2016-08-13,9
"951",2016-08-14,7
"952",2016-08-15,12
"953",2016-08-16,15
"954",2016-08-17,11
"955",2016-08-18,17
"956",2016-08-19,18
"957",2016-08-20,17
"958",2016-08-21,14
"959",2016-08-22,8
"960",2016-08-23,10
"961",2016-08-24,14
"962",2016-08-25,5
"963",2016-08-26,6
"964",2016-08-27,18
"965",2016-08-28,17
"966",2016-08-29,11
"967",2016-08-30,8
"968",2016-08-31,4
"969",2016-09-01,12
"970",2016-09-02,13
"971",2016-09-03,19
"972",2016-09-04,37
"973",2016-09-05,10
"974",2016-09-06,11
"975",2016-09-07,11
"976",2016-09-08,10
"977",2016-09-09,10
"978",2016-09-10,12
"979",2016-09-11,19
"980",2016-09-12,12
